11:54:09.444 > ets Jul 29 2019 12:21:46
11:54:09.447 > 
11:54:09.447 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
11:54:09.451 > configsip: 0, SPIWP:0xee
11:54:09.454 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
11:54:09.460 > mode:DIO, clock div:2
11:54:09.463 > load:0x3fff0030,len:1184
11:54:09.465 > load:0x40078000,len:13232
11:54:09.467 > load:0x40080400,len:3028
11:54:09.469 > entry 0x400805e4
11:54:10.609 > Presence,Fall_State,Distance_dm,Intensity,Breath_Rate,Heart_Rate,Raw_Hex
11:57:01.833 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:02.814 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:03.807 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:04.801 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:05.794 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:06.789 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:07.781 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:08.775 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:09.769 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:10.772 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:11.756 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:12.750 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:13.744 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:14.737 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:15.751 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:16.724 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:17.718 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:18.711 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:19.711 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:20.698 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:21.693 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:22.686 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:23.680 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:24.689 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:25.667 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:26.661 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:27.655 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:28.650 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:29.642 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:30.635 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:31.631 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:32.623 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:33.628 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:34.611 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:35.604 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:36.598 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:37.592 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:38.585 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:39.579 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:40.573 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:41.567 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:42.568 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:43.554 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:44.547 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:45.541 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:46.534 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:47.546 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:48.522 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:48.643 > 1,49,0,0,0,0,53 59 01 01 00 01 0F BE 54 43 
11:57:49.515 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:50.509 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:51.506 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:52.496 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:53.490 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:54.483 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
